StartTime: 2020-09-24 17:40:40.285
address	Time(s)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:41:01.318	38.1470	-44.3115	56.5796	-32.7393	-48.5376	88.5004	0.00
0x50	 17:41:01.328	49.4385	-53.4058	54.7485	-33.2062	-48.5541	89.5880	0.00
0x50	 17:41:01.338	49.4385	-53.4058	54.7485	-33.6676	-48.6365	90.7306	0.00
0x50	 17:41:01.348	-12.6343	-9.5825	90.0269	-34.1290	-48.7848	91.9391	0.00
0x50	 17:41:01.358	-12.6343	-9.5825	90.0269	-34.9475	-48.6639	93.1970	0.00
0x50	 17:41:01.368	-70.9839	120.4224	111.6943	-36.0901	-48.2684	94.4769	0.00
0x50	 17:41:01.378	-70.9839	120.4224	111.6943	-37.1393	-47.2522	95.2570	0.00
0x50	 17:41:01.388	-84.1064	19.5923	34.7290	-38.0896	-45.6372	95.5316	0.00
0x50	 17:41:01.398	-84.1064	19.5923	34.7290	-39.0454	-44.6265	95.7349	0.00
0x50	 17:41:01.407	-19.2871	28.5034	41.9922	-40.0232	-44.2145	95.9052	0.00
0x50	 17:41:01.449	-19.2871	28.5034	41.9922	-40.6659	-43.7366	96.0535	0.00
0x50	 17:41:01.450	12.3901	0.7324	37.2314	-40.9680	-43.1927	96.1963	0.00
0x50	 17:41:01.450	12.3901	0.7324	37.2314	-41.2097	-42.7863	96.4655	0.00
0x50	 17:41:01.450	-7.6904	28.0762	46.2646	-41.3800	-42.5171	96.8610	0.00
0x50	 17:41:01.458	-7.6904	28.0762	46.2646	-41.6162	-42.1381	97.2015	0.00
0x50	 17:41:01.467	-41.3818	212.4023	105.6519	-41.9183	-41.6382	97.4762	0.00
0x50	 17:41:01.477	-41.3818	212.4023	105.6519	-42.0282	-40.2539	97.2125	0.00
0x50	 17:41:01.487	-40.3442	267.0898	62.3779	-41.9897	-37.9907	96.4380	0.00
0x50	 17:41:01.497	-40.3442	267.0898	62.3779	-41.7700	-35.6396	95.3174	0.00
0x50	 17:41:01.507	-133.4229	-43.7622	-34.6680	-41.4075	-33.1897	93.8837	0.00
0x50	 17:41:01.517	-133.4229	-43.7622	-34.6680	-41.9733	-32.2559	93.2410	0.00
0x50	 17:41:01.527	-173.4619	49.3164	-37.2925	-43.4015	-32.8271	93.3618	0.00
0x50	 17:41:01.537	-173.4619	49.3164	-37.2925	-44.7803	-33.0579	93.0542	0.00
0x50	 17:41:01.547	-80.9326	68.7866	-38.0859	-46.0986	-32.9590	92.3016	0.00
